"id","sentence","aspect","opinion"
"3083","The wait staff is friendly , and the food has gotten better and better !","food","better better"
"2977","It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .","vibe","good"
"2977","It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .","French food","best"
"2604","Right off the L in Brooklyn this is a nice cozy place with good pizza .","pizza","good"
"2604","Right off the L in Brooklyn this is a nice cozy place with good pizza .","place","nice cozy"
"2960","Le Pere Pinard has a $ 15 pre-theater menu that is outstanding .","pre-theater menu","outstanding"
"1383","I also ordered for delivery and the restaurant forgot half the order .","delivery","forgot"
"1383","I also ordered for delivery and the restaurant forgot half the order .","order","forgot"
"2936","The strong scents coming from the left and right of me negatively affected my taste buds .","scents","strong"
"3423","We had the lobster sandwich and it was FANTASTIC .","lobster sandwich","FANTASTIC"
"2274","Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .","Spider Roll","challenge to eat"
"2274","Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .","price","well worth"
"2274","Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .","shell crab","soft"
"2804","Deep Fried Skewers are good and still rare to find in NYC .","Deep Fried Skewers","good rare"
"148","I also recommend the rice dishes or the different varieties of congee ( rice porridge ) .","rice dishes","recommend"
"148","I also recommend the rice dishes or the different varieties of congee ( rice porridge ) .","congee ( rice porridge )","recommend"
"2747","Their tuna tartar appetizer is to die for .","tuna tartar appetizer","die for"
"856","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .","Food","uneven"
"856","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .","chef","passion"
"856","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .","fish dishes","evident"
"856","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .","soups","evident"
"856","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .","kitchen","precise execution"
"2033","If you love wine and cheese and delicious french fare , you 'll love Artisanal !","wine","love"
"2033","If you love wine and cheese and delicious french fare , you 'll love Artisanal !","french fare","love"
"2033","If you love wine and cheese and delicious french fare , you 'll love Artisanal !","cheese","love"
"1402","I love Indian food and consider myself to be quite an expert on it .","Indian food","love"
"2053","Overall A oh ya even though there is waiting it is deff worth it","waiting","worth"
"3316","The lava cake dessert was incredible and I recommend it .","lava cake dessert","incredible recommend"
"738","From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .","service","terrible"
"738","From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .","food","bland"
"738","From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .","managers","unaccommodating"
"1549","Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .","food","tasty"
"2941","good selection of wines ranging from affordable to high end .","selection of wines","good"
"362","Nice restaurant overall , with classic upscale Italian decor .","Italian decor","classic upscale"
"2921","Not impressed with the food .","food","Not impressed"
"1909","The entire dining experience was wonderful !","dining experience","wonderful"
"1878","The wine selection ( by the glass and bottle ) is wonderful and I always recommend that friends make a reservation if they 're going to be in town .","wine selection","wonderful"
"1878","The wine selection ( by the glass and bottle ) is wonderful and I always recommend that friends make a reservation if they 're going to be in town .","reservation","recommend"
"858","Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress .","Service","refined"
"858","Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress .","maitre","delayed"
"858","Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress .","reservation","delayed"
"3376","Order the panang duck , it 's fantastic .","panang duck","fantastic"
"173","Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .","Food","good"
"173","Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .","raw vegatables","wondered"
"1836","Other than the crappy service from two individuals , it 's great .","service","crappy"
"1404","They have authentic Indian at amazin prices .","Indian","authentic"
"1404","They have authentic Indian at amazin prices .","prices","amazin"
"1819","Ambiance -- relaxed and stylish .","Ambiance","relaxed stylish"
"1474","Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","ingredients","fancy"
"1474","Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","pizza","good"
"2059","and yes Dal Bukhara is so dam good and so are all the kababs .","kababs","good"
"2059","and yes Dal Bukhara is so dam good and so are all the kababs .","Dal Bukhara","good"
"926","I look forward to eating here again","eating","look forward"
"2498","Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .","meal","good"
"2498","Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .","price","fair"
"2469","A glass of Leaping Lizard , a glass of prosecco , and the mussels had everything happy .","glass of prosecco","happy"
"2469","A glass of Leaping Lizard , a glass of prosecco , and the mussels had everything happy .","mussels","happy"
"2469","A glass of Leaping Lizard , a glass of prosecco , and the mussels had everything happy .","glass of Leaping Lizard","happy"
"567","Food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .","Food","average"
"567","Food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .","creme brulee","awful"
"567","Food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .","sugar","charred"
"3517","The food always tastes fresh and served promptly .","food","fresh"
"3517","The food always tastes fresh and served promptly .","served","promptly"
"1599","The pizza here is delicious .","pizza","delicious"
"2548","Pizza and garlic knots are great as well , I order from them quite often and the delivery is always super quick !","Pizza","great"
"2548","Pizza and garlic knots are great as well , I order from them quite often and the delivery is always super quick !","delivery","super quick"
"2548","Pizza and garlic knots are great as well , I order from them quite often and the delivery is always super quick !","garlic knots","great"
"759","For great chinese food nearby , you have Wu Liang Ye and Grand Sichuan just a block away .","chinese food","great"
"2209","This place is really trendi but they have forgotten about the most important part of a restaurant , the food .","food","forgotten"
"1352","Hats off to the chef .","chef","Hats off"
"3537","Service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique-seeming teapot , for one ) in the restaurant experience .","Service","improved"
"3537","Service could be improved but overall this is a place that understands the importance of little things ( the heavy , black , antique-seeming teapot , for one ) in the restaurant experience .","teapot","antique-seeming"
"1743","The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .","pizza","delicious"
"1743","The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .","fresh mozzarella","fresh"
"1743","The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .","cheese","cheap frozen shredded"
"1321","Its an excellent place to relax and the food is one of the best in the city of New York .","place","excellent"
"1321","Its an excellent place to relax and the food is one of the best in the city of New York .","food","best"
"2907","service is friendly , and never had a problem walking in and getting a table .","service","friendly"
"2907","service is friendly , and never had a problem walking in and getting a table .","getting a table","never had a problem"
"1890","The atmosphere was crowded but it was a great bistro-type vibe .","atmosphere","crowded"
"1890","The atmosphere was crowded but it was a great bistro-type vibe .","bistro-type vibe","great"
"2588","First off , the waitress was completely unattentive the 2 times we saw her ( odd in a restaurant with 6 tables ) and got our order wrong .","waitress","unattentive"
"3130","The food was bland oily .","food","bland oily"
"709","What is even better , is that the prices are very affordable as well , and the food is really good .","prices","affordable"
"709","What is even better , is that the prices are very affordable as well , and the food is really good .","food","good"
"1198","The fish is fresh but the variety of fish is nothing out of ordinary .","fish","fresh"
"1198","The fish is fresh but the variety of fish is nothing out of ordinary .","variety of fish","ordinary"
"2302","Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","pesto pizza","favorite"
"2302","Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","house salad","favorite"
"2302","Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","bottle of wine","good"
"2302","Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","meal","favorite"
"1110","And Kruno , the beverage manager is the best bartender I have yet to come across .","bartender","best"
"1110","And Kruno , the beverage manager is the best bartender I have yet to come across .","beverage manager","best"
"973","Ambiance and music funky , which I enjoy .","Ambiance","funky enjoy"
"973","Ambiance and music funky , which I enjoy .","music","funky enjoy"
"2132","The food , drinks and service are clearly among the best in the city .","food","best"
"2132","The food , drinks and service are clearly among the best in the city .","drinks","best"
"2132","The food , drinks and service are clearly among the best in the city .","service","best"
"250","I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","ambiance","romantic alluring"
"250","I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","service","five star"
"250","I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","foods","authentic"
"250","I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","captain","complicated maze"
"250","I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","back waiters","complicated maze"
"3686","Eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience .","atmosphere","saves"
"1922","Granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .","space","smaller"
"1922","Granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .","service","best"
"2454","I love the atmorphere @ peep !","atmorphere","love"
"603","The service was attentive and her suggestions of menu items was right on the mark .","service","attentive"
"603","The service was attentive and her suggestions of menu items was right on the mark .","menu items","right"
"678","The other night we had the $ 30 three course meal and everything was delicious - if I could of licked the plate clean I would of .","three course meal","delicious"
"1830","Even after getting pushed out by the no-class Famous Ray 's , Sal has risen again to carry on his father 's uncle 's legacies with a smile , true love for his community , and let 's not forget the Outstanding Pizza !","Pizza","Outstanding"
"2521","The environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .","environment","romantic"
"2521","The environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .","food","horrible"
"2521","The environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .","service","pathetic"
"1918","We had crawfish boiled and despite making a mess , it was a ton of fun and quite tasty as well .","crawfish boiled","fun tasty"
"887","What came to our table was burned beyond recognition and stringy .","table","burned"
"2448","I had the Pad Thai and the noodles were sticky .","Pad Thai","sticky"
"2448","I had the Pad Thai and the noodles were sticky .","noodles","sticky"
"3129","The hostess is rude to the point of being offensive .","hostess","rude offensive"
"2271","If you 're craving for Haru 's great food , especially the House Roll , but ca n't stand the wait building outisde , head across the street to their Sake Bar !","food","great"
"1554","A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .","corridor","narrow"
"1554","A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .","space","tiny"
"1554","A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .","counters","tiny"
"1554","A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .","entrees","small"
"2306","The food is great .","food","great"
"1975","Succulent steaks cooked precisely to your desired 'doneness ' accompanied by salads and sides that do n't look like leafy road kill .","steaks","desired"
"2875","Decent wine at reasonable prices .","wine","Decent"
"2875","Decent wine at reasonable prices .","prices","reasonable"
"2303","All conveniently delivered right to the door .","delivered","conveniently"
"2513","even the wine by the glass was good .","wine by the glass","good"
"141","This dish is my favorite and I always get it when I go there and never get tired of it .","dish","favorite"
"3655","I also ordered the Change Mojito , which was out of this world .","Change Mojito","out of this world"
"2098","Okay service .","service","Okay"
"1624","The only thing more wonderful than the food ( which is exceptional ) is the service .","food","exceptional"
"1624","The only thing more wonderful than the food ( which is exceptional ) is the service .","service","wonderful"
"2377","The food was just awful , ATROCIOUS actually .","food","awful ATROCIOUS"
"1630","The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .","anti-pasta","excellent"
"1630","The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .","calamari","excellent"
"1630","The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .","filling pasta mains","excellent"
"1907","The waitress suggested glasses of wine that went very well with the food .","glasses of wine","went very well with the food"
"1535","They might be all business at the counter when you give your order , but their food says I love you .","food","love"
"1535","They might be all business at the counter when you give your order , but their food says I love you .","counter","love"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","types","please"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","ceviche mix ( special )","please"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","crab dumplings","please"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","assorted sashimi","please"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","sushi","particular"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","rolls","please"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","sake","please"
"3202","We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .","banana tempura","please"
"449","Try their plain pizza with fresh garlic or eggplant .","plain pizza","Try"
"449","Try their plain pizza with fresh garlic or eggplant .","garlic","fresh"
"927","Ok , so the servers wander around a little clueless , but there 's more than enough servers for the crowd they get -- it 's fine , you just have to make a small effort to get their attention .","servers","clueless"
"585","Good luck getting a table .","getting a table","Good luck"
"345","The service is awful .","service","awful"
"1494","The takeout menu says to keep an eye out for an expanded menu offering more italian dishes , I ca n't wait !","menu","expanded"
"1494","The takeout menu says to keep an eye out for an expanded menu offering more italian dishes , I ca n't wait !","italian dishes","more"
"1278","The pizza is good though .","pizza","good"
"2201","bottles of wine are cheap and good .","bottles of wine","cheap good"
"620","The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .","beers","happy"
"620","The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .","food","delicious"
"620","The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .","pumkin tortelini","recommend"
"865","You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .","crabmeat lasagna","out of this world"
"2126","Very good service and very good prices .","service","good"
"2126","Very good service and very good prices .","prices","good"
"2078","I recently went to this restaurant with some co-workers for lunch and had an amazing time .","lunch","amazing"
"846","The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .","service","impeccable unobtrusive"
"2158","Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY .","bagel","best"
"1578","Our food was great too !","food","great"
"1319","The most annoying thing , though , is the fact that the servers seem to be trained to drive revenue .","servers","annoying"
"1115","Please try the Filet Mignon , its just the most tender piece ever .","Filet Mignon","tender"
"395","The sake menu should not be overlooked !","sake menu","overlooked"
"3102","the drinks are amazing and half off till 8pm .","drinks","amazing"
"984","i 've been back to nha trang literally a hundred times for the beef cubes - they 're that good .","beef cubes","good"
"1969","The service , wine selection , ambiance are all outstanding and deserve recognition .","service","outstanding"
"1969","The service , wine selection , ambiance are all outstanding and deserve recognition .","wine selection","outstanding"
"1969","The service , wine selection , ambiance are all outstanding and deserve recognition .","ambiance","outstanding"
"763","We were seated promptly as we had reservations , however after that the service was slow .","service","slow"
"754","It 's really also the service , is good and the waiters are friendly .","service","good"
"754","It 's really also the service , is good and the waiters are friendly .","waiters","friendly"
"691","The food was pretty good , but a little flavorless and the portions very small , including dessert .","food","good flavorless"
"691","The food was pretty good , but a little flavorless and the portions very small , including dessert .","dessert","small"
"691","The food was pretty good , but a little flavorless and the portions very small , including dessert .","portions","small"
"247","Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there .","food","comparable"
"2823","I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .","food","recommend"
"2823","I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .","ambience","recommend"
"2823","I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .","service","recommend wonderful"
"2396","All the NYU students love this place so it makes for a fun young atmosphere .","atmosphere","fun young"
"139","The food here does a great service to the name ( Cantonese that is ... ) .","food","great"
"139","The food here does a great service to the name ( Cantonese that is ... ) .","Cantonese","great"
"841","But , nothing stands out about the cooking .","cooking","nothing stands out"
"3477","Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .","food","decent"
"3477","Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere .","atmosphere","colorful"
"90","The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .","Prix Fixe menu","worth"
"90","The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .","quantity","more than enough"
"90","The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .","quality","more than enough"
"1104","I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .","eggs benedict","worst"
"1104","I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .","hollondaise sauce","failed"
"1104","I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .","brunch","worst"
"2563","I work near-by , and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item .","oatmeal","BEST"
"2790","Too bad the food was n't of the same heritage .","food","bad"
"323","The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .","menu","good"
"323","The menu looked good , except for offering the Chilean Sea Bass , but the server does not offer up the specials that were written on the board outside .","Chilean Sea Bass","except"
"1891","The food was really good , I had the onion soup and it was one of the best ever .","food","good"
"1891","The food was really good , I had the onion soup and it was one of the best ever .","onion soup","best"
"1551","Since it literally is a complete hole in the wall , it 's a bit intimidating at first , but you get over that very quickly as soon as the friendly staff welcomes you - do n't hesitate to ask for help with what to get .","staff","friendly"
"3650","When he finally did , he was unable to make a gin and tonic -- could n't find tonic .","gin and tonic","unable"
"2084","The dim sum is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should ( also note lack of Chinese here ) .","dim sum","ok"
"2084","The dim sum is ok but does n't taste that fresh , and the little dishes do n't look steamy hot as they should ( also note lack of Chinese here ) .","little dishes","do n't look steamy hot"
"3193","The service is ok , some of the people did n't get what they asked for .","service","ok"
